312|arch_enemy[song]=10_ Dreams Of Retribution
313|arch_enemy[song]=10_ Losing Faith
314|arch_enemy[song]=10_ Snow Bound
315|arch_enemy[song]=10_ The Great Darkness
316|arch_enemy[song]=11_ My Shadow And I
317|arch_enemy[song]=11_ Shadows And Dust
318|arch_enemy[song]=11_ The Ides Of March
319|arch_enemy[song]=11_ Thorns In My Flesh
320|arch_enemy[song]=11_ Vox Stellarum
321|arch_enemy[song]=11_ Vultures
322|arch_enemy[song]=12_ Bridge Of Destiny
323|arch_enemy[song]=12_ Lament Of A Mortal Soul
324|arch_enemy[song]=12_ The Oath
325|arch_enemy[song]=12_ Turn To Dust
326|arch_enemy[song]=13_ Starbreaker
327|arch_enemy[song]=13_ Vengeance Is Mine
328|arch_enemy[song]=14_ Aces High
329|arch_enemy[song]=14_ Secrets
330|arch_enemy[song]=15_ Scream Of Anger
331|arch_enemy[song]=15_ The Zoo
332|arch_enemy[song]=16_ Diva Satanica
333|arch_enemy[song]=16_ Snow Bound (Acoustic)
334|arch_enemy[song]=17_ Fields Of Desolation '99
335|arch_enemy[song]=18_ Damnations Way
336|arch_enemy[song]=19_ Hydra
337|arch_enemy[song]=1_ Beast Of Man
338|arch_enemy[song]=1_ Blood On Your Hands
339|arch_enemy[song]=1_ Bury Me An Angel
340|arch_enemy[song]=1_ Dead Eyes See No Future
341|arch_enemy[song]=1_ Enemy Within
342|arch_enemy[song]=1_ Khaos Overture
343|arch_enemy[song]=1_ Set Flame To The Night
344|arch_enemy[song]=2_ Burning Angel
345|arch_enemy[song]=2_ Burning Angel (Live)
346|arch_enemy[song]=2_ Dark Insanity
347|arch_enemy[song]=2_ Stigmata
348|arch_enemy[song]=2_ The Last Enemy
349|arch_enemy[song]=2_ The Race
350|arch_enemy[song]=2_ Yesterday Is Dead And Gone
351|arch_enemy[song]=3_ Blood In The Water
352|arch_enemy[song]=3_ Bloodstained Cross
353|arch_enemy[song]=3_ Eureka
354|arch_enemy[song]=3_ Heart Of Darkness
355|arch_enemy[song]=3_ I Will Live Again
356|arch_enemy[song]=3_ Sinister Mephisto
357|arch_enemy[song]=3_ We Will Rise (Live)
358|arch_enemy[song]=4_ Dark Of The Sun
359|arch_enemy[song]=4_ Idolatress
360|arch_enemy[song]=4_ In This Shallow Grave
361|arch_enemy[song]=4_ Ravenous
362|arch_enemy[song]=4_ Symphony Of Destruction
363|arch_enemy[song]=4_ The World Is Yours
364|arch_enemy[song]=4_ Under Black Flags We March
365|arch_enemy[song]=5_ Cosmic Retribution
366|arch_enemy[song]=5_ Kill With Power
367|arch_enemy[song]=5_ Let The Killing Begin
368|arch_enemy[song]=5_ No Gods, No Masters
369|arch_enemy[song]=5_ Revolution Begins
370|arch_enemy[song]=5_ Savage Messiah
371|arch_enemy[song]=5_ The Eagle Flies Alone
372|arch_enemy[song]=6_ Black Earth
373|arch_enemy[song]=6_ City Of The Dead
374|arch_enemy[song]=6_ Dead Bury Their Dead
375|arch_enemy[song]=6_ Demoniality
376|arch_enemy[song]=6_ Incarnated Solvent Abuse
377|arch_enemy[song]=6_ Reason To Believe
378|arch_enemy[song]=6_ Rise Of The Tyrant
379|arch_enemy[song]=7_ Hydra
380|arch_enemy[song]=7_ Murder Scene
381|arch_enemy[song]=7_ The Day You Died
382|arch_enemy[song]=7_ Through The Eyes Of A Raven
383|arch_enemy[song]=7_ Transmigration Macabre
384|arch_enemy[song]=7_ Web Of Lies
385|arch_enemy[song]=8_ Cruelty Without Beauty
386|arch_enemy[song]=8_ First Day In Hell
387|arch_enemy[song]=8_ Intermezzo Liberté
388|arch_enemy[song]=8_ Tears Of The Dead
389|arch_enemy[song]=8_ The First Deadly Sin
390|arch_enemy[song]=8_ Time Capsule
391|arch_enemy[song]=9_ Behind The Smile
392|arch_enemy[song]=9_ Diva Satanica
393|arch_enemy[song]=9_ Fields Of Desolation
394|arch_enemy[song]=9_ Night Falls Fast
395|arch_enemy[song]=9_ Saturnine
396|arch_enemy[song]=9_ We Are A Godless Entity
397|at_the_gates[song]=10_ City Of Mirrors
398|at_the_gates[song]=10_ City Of Screaming Statues
399|at_the_gates[song]=10_ Ever-Opening Flower
400|at_the_gates[song]=10_ Need
